doc_id,name,relative_path,size_bytes,page_count,pdf_has_text,needs_ocr,document_type_guess,year_guess,language_guess,doi_guess,standard_code_guess,title_guess,sha256,text_probe_error
9c4265af48d79690,1-s2.0-S0022509618304824-main.pdf,1-s2.0-S0022509618304824-main.pdf,4088060,17,True,False,journal_or_report,2019,en,,,Journal of the Mechanics and Physics of Solids 122 (2019) 418–434,9c4265af48d79690c57e2740aaac3109da381fc18d3c96e0c0306f4658994e9c,
0396549e2d9c1f9f,1-s2.0-S0022509625001371-main.pdf,1-s2.0-S0022509625001371-main.pdf,9335012,32,True,False,journal_or_report,2025,en,,,J. Mech. Phys. Solids 203 (2025) 106161,0396549e2d9c1f9f3e93c564bd999c62ed6796a71f1f04dd2f9fbbc963469824,
4ff700b684fd6e4b,1-s2.0-S0029801823010521-main.pdf,1-s2.0-S0029801823010521-main.pdf,9410055,13,True,False,journal_or_report,2023,en,,,Ocean Engineering 281 (2023) 114668,4ff700b684fd6e4beca3c354e459d6a1a98c9de267266f5ae584561a88651bcc,
4ba3631e96dc202d,1-s2.0-S0030399215302772-main.pdf,1-s2.0-S0030399215302772-main.pdf,3674815,8,True,False,journal_or_report,2016,en,,,Optics & Laser Technology 83 (2016) 140–147,4ba3631e96dc202de9ee7ab7228961dbedf7e65d45abef1fb5b48003a26a3433,
4e369b8b64b24e9d,1-s2.0-S0030399215307131-main.pdf,1-s2.0-S0030399215307131-main.pdf,11444913,13,True,False,journal_or_report,2016,en,,,Optics & Laser Technology 82 (2016) 170–182,4e369b8b64b24e9dc3dfeb197145f4a92720084e9b025c6eca89e408d45b9e0a,
9aa4e5c3be5fc43c,1-s2.0-S0030399222006053-main.pdf,1-s2.0-S0030399222006053-main.pdf,27187862,13,True,False,journal_or_report,2022,en,,,Optics & Laser Technology 155 (2022) 108449,9aa4e5c3be5fc43c7f8ddb47a4fe58bd4fd7049c127c5171e2bdf7559a93820a,
136a74f0bf0b623e,1-s2.0-S0030399223001135-main.pdf,1-s2.0-S0030399223001135-main.pdf,24627635,16,True,False,journal_or_report,2023,en,,,Optics & Laser Technology 161 (2023) 109220,136a74f0bf0b623e303cbeef2c41e0555aeb586b448baf9e53128fdff6db0979,
dae2e061e2ee502e,1-s2.0-S0030399223003493-main.pdf,1-s2.0-S0030399223003493-main.pdf,17054663,11,True,False,journal_or_report,2023,en,,,Optics & Laser Technology 164 (2023) 109456,dae2e061e2ee502ea0281f4f04c2b5ae15511a957bc7345ee16a8995ff79812e,
f8cec027640796fc,1-s2.0-S0030399223004887-main.pdf,1-s2.0-S0030399223004887-main.pdf,21766471,28,True,False,journal_or_report,2023,en,,,Optics & Laser Technology 167 (2023) 109595,f8cec027640796fce8888bd1f1076154502e1a7c70e40b0404eaf1ae83146696,
3e5d56e19182dbb2,1-s2.0-S0030399224000707-main.pdf,1-s2.0-S0030399224000707-main.pdf,28442719,14,True,False,journal_or_report,2024,en,,,Optics & Laser Technology 174 (2024) 110612,3e5d56e19182dbb2b32c5ab39c25e0422f6c7bab0fd4edba5e3086c421f0d783,
b58bdb3afc3efb13,1-s2.0-S0030399224008235-main.pdf,1-s2.0-S0030399224008235-main.pdf,17987847,14,True,False,journal_or_report,2024,en,,,Optics & Laser Technology 179 (2024) 111365,b58bdb3afc3efb13eab00462f5ec849e6f854909a0156026395ca8598e558926,
5ceb2a1411505ee1,1-s2.0-S0032591022003047-main.pdf,1-s2.0-S0032591022003047-main.pdf,3610844,12,True,False,journal_or_report,2022,en,,,Powder Technology 403 (2022) 117410,5ceb2a1411505ee1a1fc9e6a92113c5ce27418c429c4889c02bdee772edc622d,
32d8f8daa1ccdbbc,1-s2.0-S025789722100311X-main.pdf,1-s2.0-S025789722100311X-main.pdf,10805652,8,True,False,journal_or_report,2021,en,,,Surface & Coatings Technology 416 (2021) 127137,32d8f8daa1ccdbbc8d8c3a6193cd0c407e137093cda9c5752ba84d47f3e4fb46,
3a14986b949d2d5a,1-s2.0-S025789722300316X-main.pdf,1-s2.0-S025789722300316X-main.pdf,3558837,10,True,False,journal_or_report,2023,en,,,Surface & Coatings Technology 464 (2023) 129541,3a14986b949d2d5a2a709509afa39d21568e7d04c3c45c1c92901259174bf02b,
13cacc9e2dbfeaa4,1-s2.0-S026322412030381X-main.pdf,1-s2.0-S026322412030381X-main.pdf,3006073,12,True,False,journal_or_report,2020,en,,,Measurement 161 (2020) 107843,13cacc9e2dbfeaa4a7b8b50ebe61503f8403c16bfac09e9441c7015a58e21edc,
5411e9f483604ebf,1-s2.0-S026412752501322X-main.pdf,1-s2.0-S026412752501322X-main.pdf,2763427,8,True,False,journal_or_report,2025,en,10.1016/j.matdes.2025.114902,,Materials & Design 260 (2025) 114902,5411e9f483604ebf73cce8d8ef3c3eb4123507a470e0c1b46ca256cb2eaf3f7a,
210194cc00edf183,EFP对有限厚603靶板侵彻的试验研究.pdf,EFP对有限厚603靶板侵彻的试验研究.pdf,163573,3,True,False,journal_or_report,2007,en,,,EFP对有限厚603靶板侵彻的试验研究,210194cc00edf18360756539a4d4cb423cd85545ebd96a77c65ada739a4a7eeb,
4cd4ef9d59628828,Er、Sc微合金化对WAA...6Mg合金组织与性能的影响_李承德.pdf,Er、Sc微合金化对WAA...6Mg合金组织与性能的影响_李承德.pdf,2747680,10,True,False,journal_or_report,2023,zh,,,Er、Sc微合金化对WAA...6Mg合金组织与性能的影响_李承德,4cd4ef9d59628828aa5a2eb7a2a972d1fd7760e85637efbc5f94a54c5a276368,
a8e5f08be591e481,Er元素对Mg-Gd-Y-...-Zr合金组织与性能的影响_吴凯.pdf,Er元素对Mg-Gd-Y-...-Zr合金组织与性能的影响_吴凯.pdf,35727283,69,True,False,journal_or_report,2020,en,,,Er元素对Mg-Gd-Y-...-Zr合金组织与性能的影响_吴凯,a8e5f08be591e48168b9243b6550c3091e46335c792309ce1c2861b7d9a5eb27,
2c1a500a68ea2ae4,ESD法提高TC11钛合金耐热性能研究_扎哈尔（Dolgiy_Zakhar）.pdf,ESD法提高TC11钛合金耐热性能研究_扎哈尔（Dolgiy_Zakhar）.pdf,9533312,101,True,False,journal_or_report,2013,zh,,,ESD法提高TC11钛合金耐热性能研究_扎哈尔（Dolgiy_Zakhar）,2c1a500a68ea2ae4311a633b7c1f6a81d5f606e6daa6c40f740aed84070b091f,
bd3191cf23199321,Eskin2008_Article_ScaleRulesForMacrosegregationD.pdf,Eskin2008_Article_ScaleRulesForMacrosegregationD.pdf,428973,7,True,False,journal_or_report,2008,en,10.1007/s11661-008-9468-7,,Eskin2008_Article_ScaleRulesForMacrosegregationD,bd3191cf23199321c63021fa6f30decc4475abd64a02c351fe49a9333a07d777,
1190d153cd768889,Eskin2016_Chapter_MechanismsAndControlOfMacroseg.pdf,Eskin2016_Chapter_MechanismsAndControlOfMacroseg.pdf,851792,6,True,False,book,2014,en,,,Eskin2016_Chapter_MechanismsAndControlOfMacroseg,1190d153cd768889c735d478a3631fae94b464878a7c4ffcf747fa7347cec642,
122ce532a8cea396,Eskin2016_Chapter_StructureAndCastingDefectsOfAl.pdf,Eskin2016_Chapter_StructureAndCastingDefectsOfAl.pdf,727909,8,True,False,book,2015,en,,,Eskin2016_Chapter_StructureAndCastingDefectsOfAl,122ce532a8cea3961f8d0c4efc795b3ae349650fb2c345b4b7f479f2aa4d3a4b,
3da782e2695b94de,Essentials of Materials Science and Engineering.pdf,Essentials of Materials Science and Engineering.pdf,30084092,625,False,True,book,,en,,,Essentials of Materials Science and Engineering,3da782e2695b94de4e8a293116cbc6d32d3fd9f24f01e1c4306d4d7231e49e10,
ba3cd6e0ef423c7e,Establishing relationship between the base metal properties and friction stir welding process parameters of castaluminium alloys.PDF,Establishing relationship between the base metal properties and friction stir welding process parameters of castaluminium alloys.PDF,3158541,10,True,False,journal_or_report,2010,en,,,Establishing relationship between the base metal properties and friction stir welding process parameters of castaluminium alloys,ba3cd6e0ef423c7ea2cefabe4f92127dad535259627697d3a11bdedccca3483a,
61d05eee010564a7,EV31镁合金热压缩变形行为及热加工图_郁天其.pdf,EV31镁合金热压缩变形行为及热加工图_郁天其.pdf,1357304,10,True,False,journal_or_report,2023,en,,,EV31镁合金热压缩变形行为及热加工图_郁天其,61d05eee010564a7b00370a7a56d14a102ac00dbaa94156c5ab9a3254972fe01,
e3b0c44298fc1c14,Evaluation of cracking resistance of DC casting high strength aluminum ingots.pdf,Evaluation of cracking resistance of DC casting high strength aluminum ingots.pdf,0,,False,False,journal_or_report,,en,,,Evaluation of cracking resistance of DC casting high strength aluminum ingots,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Syntax Error: Document stream is empty
5ffec693d932793f,Folate-modified-nanodelivery-platform-loaded-with-triptolide-fo_2025_Materia.pdf,Folate-modified-nanodelivery-platform-loaded-with-triptolide-fo_2025_Materia.pdf,13393413,15,True,False,journal_or_report,2025,en,,,Folate-modified-nanodelivery-platform-loaded-with-triptolide-fo_2025_Materia,5ffec693d932793f37a87e2dcea8ed0c94da4c209775be69709f1cbdfa55ec29,
